steps,avg_cost,std_cost,avg_service_level
5000,258.34676778465507,29.057501141450487,1.0
10000,189.52476668953895,15.545376948285885,1.0
15000,185.61114370375873,13.57507697693234,0.9099999999999999
20000,187.95285131782293,17.209176153986,0.9199999999999999
25000,195.106563167274,12.531355414893149,1.0
30000,266.2703603670001,68.79575649588337,0.9649999999999999
35000,192.29459026157855,40.24400894206859,0.9024999999999999
40000,222.84931249916553,20.12978201493274,0.9
45000,216.3609320551157,35.18109517057501,0.9274999999999999
50000,212.22234967947006,34.96137321351001,0.9
55000,235.3630370557308,40.420835368556915,0.8625
60000,377.86963117569684,81.37502864011049,0.7575000000000001
