policy,avg_cost,std_cost,service_level
DQN (shared),490.9688658069432,454.7326359314006,0.8645000000000002
"(s,S) days",664.1116755689799,655.9673593993365,0.7365
NeverOrder,2099.8032136481256,1731.9856758673627,0.19649999999999998
