steps,train_cost,val_cost,train_service,val_service,q_mean,q_absmax,loss,buffer,eps
5000,243.0917065779368,257.48073814113934,0.99,1.0,1.4942712783813477,2.6749608516693115,0.027138089761137962,5000,0.01
10000,200.09129338264466,223.53362685640653,0.9599999999999999,0.9833333333333333,-0.03048638254404068,1.377846598625183,0.028865432366728783,10000,0.01
15000,196.3318282922109,209.00243322650593,0.97,0.9733333333333333,-1.5273197889328003,2.9117941856384277,0.012984191998839378,15000,0.01
20000,186.0381489356359,186.24980595111847,0.9833333333333333,0.8866666666666666,-2.1307733058929443,3.9033939838409424,0.02420472912490368,20000,0.01
25000,188.4600498835246,186.13583008845646,0.9900000000000001,0.98,-2.649641275405884,5.324605464935303,0.005424984265118837,25000,0.01
30000,208.34999147256215,271.62235265572866,0.9733333333333332,1.0,-2.5401487350463867,5.715180397033691,0.06551345437765121,30000,0.01
35000,183.50074416001638,209.32365028858186,0.9099999999999998,0.7933333333333334,-3.2688751220703125,6.109752178192139,0.1095900759100914,35000,0.01
40000,216.13397653102874,218.613844281435,0.9266666666666664,0.8833333333333332,-3.1772871017456055,6.409233570098877,0.06773293018341064,40000,0.01
45000,212.5352028131485,242.4273417254289,0.9333333333333333,0.84,-3.2954142093658447,6.626713752746582,0.026424922049045563,45000,0.01
50000,195.5025653441747,264.274483470122,0.99,0.8899999999999999,-3.8586583137512207,6.603752136230469,0.06027427315711975,50000,0.01
55000,254.0383608977,243.46228521267574,0.9766666666666666,0.8733333333333332,-3.5058176517486572,6.631871223449707,0.06694287061691284,50000,0.01
60000,200.58871165116628,271.2516505241394,0.9033333333333332,0.8399999999999997,-2.9203531742095947,6.1350274085998535,0.0995955616235733,50000,0.01
