policy,avg_cost,std_cost,service_level
DQN,385.0679207444191,60.502782382158465,0.7775000000000001
"(s,S)",517.0696671962738,108.3285132850559,0.7125
EOQ,620.8777018785477,80.54880537521854,0.6575
NeverOrder,1737.1875888705254,115.84090933798737,0.14499999999999996
