split,model,mae,rmse,bias,n_obs,rel_zero,rel_persist
val,Zero,0.5001785447646843,0.8414103002723515,-0.5001785447646843,175198,1.0,1.0677472252133624
val,Persistence,0.46844284204506936,0.7146575126106764,0.1062747024448684,175198,0.9365512514445309,1.0
val,TFT-MAE,0.17198978066745238,0.2861923010352505,-0.023191845794979897,175198,0.3438567736814207,0.3671521159691561
val,TFT-MQLoss,0.1771872360539255,0.30052678863747484,-0.04853136926515235,175198,0.3542479738655836,0.3782472911324326
test,Zero,0.5905319337996104,0.9653565241184007,-0.5905319337996104,175700,1.0,0.8741793578981126
test,Persistence,0.6755271998408799,0.9581794857745599,0.4449761879559965,175700,1.1439300081443378,1.0
test,TFT-MAE,0.2004627178835144,0.3310154758627168,-0.04567896646005358,175700,0.3394612660380512,0.296750031576424
test,TFT-MQLoss,0.20646425003871205,0.34496977852956956,-0.08388707057673758,175700,0.34962419171860243,0.3056342514222145
