seed,val_best,test_cost,test_std,service
0,214.60117790699005,302.8133579611778,68.62579944466123,0.8725000000000002
1,189.74177923202515,385.17120896577836,51.39983821942952,0.805
2,182.85626034736634,398.9002786874771,71.5496757844663,0.7925
3,200.59520044326783,417.4893279790878,70.23478277171968,0.74
4,189.34858958721162,339.3247658967972,46.87710944522516,0.8550000000000001
